№ пп,ЖК,Регион,Мероприятия
1,Green Park,Москва,Группа А (программа максимум)
2,Holland park,Москва,Группа А (программа максимум)
3,Vander park,Москва БК Продукт,Группа А (программа максимум)
4,Vangarden,Москва БК Продукт,Группа А (программа максимум)
5,Академика Павлова,Москва,Группа B (программа минимум)
6,Алтуфьевское 53,Москва,Группа А (программа максимум)
7,Амурский парк,Москва,Группа B (программа минимум)
8,Аннино парк,Москва,Группа B (программа минимум)
9,Аэронавт,Санкт-Петербург,Группа B (программа минимум)
10,Барклая 6,Москва БК Продукт,Группа А (программа максимум)
11,Белая дача парк,МО,Группа B (программа минимум)
12,Большая Академическая 85,Москва,Группа А (программа максимум)
13,Большая Очаковская 2,Москва,Группа А (программа максимум)
14,Бунинские луга,Москва,Группа B (программа минимум)
15,Бусиновский парк,Москва,Группа B (программа минимум)
16,Бутово парк 2,МО,Группа А (программа максимум)
17,Вавилова 4,Москва БК Продукт,Группа А (программа максимум)
18,Варшавское шоссе 141,Москва,Группа B (программа минимум)
19,Витебский парк,Санкт-Петербург,Группа B (программа минимум)
20,Волжский парк,Москва,Группа B (программа минимум)
21,Волоколамское 24,Москва БК Продукт,Группа А (программа максимум)
22,Восточное Бутово,МО,Группа А (программа максимум)
23,Второй Нагатинский,Москва,Группа А (программа максимум)
24,Галактика,Санкт-Петербург,Группа B (программа минимум)
25,Дальневосточный 15,Санкт-Петербург,Группа B (программа минимум)
26,Дмитровский парк,Москва,Группа А (программа максимум)
27,Жемчужина Зеленограда,Москва,Группа B (программа минимум)
28,Жулебино парк,МО,Группа B (программа минимум)
29,Западный порт,Москва БК Продукт,Группа А (программа максимум)
30,Заречный парк,ЛО,Группа А (программа максимум)
31,Зелёный парк,Москва,Группа А (программа максимум)
32,Измайловский 11,Москва,Группа B (программа минимум)
33,Измайловский лес,МО,Группа А (программа максимум)
34,Ильинские луга,МО,Группа А (программа максимум)
35,Ильменский 17,Москва,Группа B (программа минимум)
36,Исеть парк,Свердловская обл.,Группа С (не было мероприятий)
37,Кавказский бульвар 51,Москва,Группа B (программа минимум)
38,Кантемировская 11,Санкт-Петербург,Группа А (программа максимум)
39,Кольская 8,Москва,Группа B (программа минимум)
40,Космонавтов 11,Свердловская обл.,Группа С (не было мероприятий)
41,Красноказарменная 15,Москва,Группа А (программа максимум)
42,Кронштадтский 14,Москва,Группа А (программа максимум)
43,Кронштадтский 9,Москва,Группа А (программа максимум)
44,Кудровский парк,ЛО,Группа А (программа максимум)
45,Кузьминский лес,МО,Группа B (программа минимум)
46,Кутузовский квартал,Москва,Группа B (программа минимум)
47,Лермонтовский 54,Санкт-Петербург,Группа А (программа максимум)
48,Лосиноостровский парк,Москва,Группа А (программа максимум)
49,Люберецкий,МО,Группа B (программа минимум)
50,Люберцы парк,МО,Группа B (программа минимум)
51,Люблинский парк,Москва,Группа B (программа минимум)
52,Матвеевский парк,Москва,Группа А (программа максимум)
53,Мещерский лес,Москва,Группа А (программа максимум)
54,Митино парк,МО,Группа B (программа минимум)
55,Митинский лес,Москва,Группа А (программа максимум)
56,Михайловский парк,Москва,Группа B (программа минимум)
57,Мичуринский парк,Москва,Группа А (программа максимум)
58,Молодогвардейская 36,Москва,Группа С (не было мероприятий)
59,Мякинино парк,Москва,Группа B (программа минимум)
60,Никольские луга,Москва,Группа B (программа минимум)
61,Новое Очаково,Москва,Группа B (программа минимум)
62,Новохохловская 15,Москва,Группа B (программа минимум)
63,Нокса парк,Татарстан,Группа А (программа максимум)
64,Одинцово-1,МО,Группа B (программа минимум)
65,Оранж парк,МО,Группа B (программа минимум)
66,Орловский парк,Санкт-Петербург,Группа B (программа минимум)
67,Открытый парк,Москва,Группа А (программа максимум)
68,Первый Дубровский,Москва,Группа А (программа максимум)
69,Перовское 2,Москва,Группа А (программа максимум)
70,Петр1,Москва,Группа А (программа максимум)
71,Лефортово парк,Москва,Группа А (программа максимум)
72,Полар,Москва,Группа B (программа минимум)
73,Полярная 25,Москва,Группа B (программа минимум)
74,Просторная 7,Москва,Группа B (программа минимум)
75,Римского-Корсакова,Москва,Группа B (программа минимум)
76,Руставели 14,Москва,Группа А (программа максимум)
77,Савин парк,Нижегородская обл.,Группа С (не было мероприятий)
78,Саларьево парк,Москва,Группа А (программа максимум)
79,Середневский лес,Москва,Группа А (программа максимум)
80,Сиберово,Татарстан,Группа С (не было мероприятий)
81,Сигнальный 16,Москва,Группа B (программа минимум)
82,Сокольнический вал 1,Москва,Группа С (не было мероприятий)
83,Столичные поляны,Москва,Группа B (программа минимум)
84,Таллинский парк,ЛО,Группа А (программа максимум)
85,Томилинский бульвар,МО,Группа С (не было мероприятий)
86,Утёс,Свердловская обл.,Группа С (не было мероприятий)
87,Черняховского 19,Москва,Группа B (программа минимум)
88,Шереметьевский,Москва,Группа А (программа максимум)
89,Шкиперский 19,Санкт-Петербург,Группа А (программа максимум)
90,Юнино,Москва,Группа А (программа максимум)
91,Ютаново,Москва,Группа А (программа максимум)
92,Янинский лес,ЛО,Группа А (программа максимум)
93,Ярославский,МО,Группа B (программа минимум)
94,Ярославский квартал,МО,Группа B (программа минимум)
95,Ясеневая 14,Москва,Группа B (программа минимум)
96,Яуза парк,МО,Группа B (программа минимум)
1,Плеханова 11,Москва,Группа С (не было мероприятий)
2,Ельнинская 14,Москва,Группа С (не было мероприятий)
3,Волга парк,Ярославская обл.,Группа B (программа минимум)
4,Мосфильмовская,Москва,Группа С (не было мероприятий)
5,Черноморский 1 ,Новороссийск,Группа С (не было мероприятий)
6,Черноморский 2,Новороссийск,Группа С (не было мероприятий)
7,Пресненский вал 21,Москва,Группа С (не было мероприятий)
8,Ярцевская 24,Москва,Группа С (не было мероприятий)
