№,ЖК,Регион,Мероприятия,n_2024,n_2025,n_2026,nps_2024,nps_2025,nps_2026
1,Green Park,Москва,Группа А (программа максимум),581,141,17,-53.7,-33.3,-52.9
2,Holland park,Москва,Группа А (программа максимум),163,97,5,-68.7,-81.4,-20.0
3,Vander park,Москва БК Продукт,Группа А (программа максимум),63,16,5,-42.9,-68.8,-60.0
4,Vangarden,Москва БК Продукт,Группа А (программа максимум),39,70,2,-64.1,-88.6,-100.0
5,Академика Павлова,Москва,Группа B (программа минимум),286,57,18,-51.7,3.5,-16.7
6,Алтуфьевское 53,Москва,Группа А (программа максимум),0,85,5,,-67.1,0.0
7,Амурский парк,Москва,Группа B (программа минимум),235,80,21,-48.1,-66.2,-76.2
8,Аннино парк,Москва,Группа B (программа минимум),27,51,16,-85.2,-35.3,-100.0
9,Аэронавт,Санкт-Петербург,Группа B (программа минимум),0,20,45,,-40.0,-95.6
10,Барклая 6,Москва БК Продукт,Группа А (программа максимум),1,36,24,-100.0,25.0,-45.8
11,Белая дача парк,МО,Группа B (программа минимум),414,158,23,0.7,-13.3,-43.5
12,Большая Академическая 85,Москва,Группа А (программа максимум),180,55,77,-45.0,-7.3,-97.4
13,Большая Очаковская 2,Москва,Группа А (программа максимум),48,52,2,-70.8,-46.2,50.0
14,Бунинские луга,Москва,Группа B (программа минимум),237,152,16,-32.9,-25.0,-25.0
15,Бусиновский парк,Москва,Группа B (программа минимум),317,62,22,-56.2,-11.3,9.1
16,Бутово парк 2,МО,Группа А (программа максимум),139,176,15,-51.1,-17.0,-100.0
17,Вавилова 4,Москва БК Продукт,Группа А (программа максимум),39,6,0,-38.5,0.0,
18,Варшавское шоссе 141,Москва,Группа B (программа минимум),71,61,11,-54.9,-23.0,-54.5
19,Витебский парк,Санкт-Петербург,Группа B (программа минимум),0,34,19,,-17.6,-68.4
20,Волжский парк,Москва,Группа B (программа минимум),269,74,8,-29.4,-33.8,-37.5
21,Волоколамское 24,Москва БК Продукт,Группа А (программа максимум),0,0,0,,,
22,Восточное Бутово,МО,Группа А (программа максимум),503,164,13,-23.9,-40.9,-30.8
23,Второй Нагатинский,Москва,Группа А (программа максимум),140,94,32,-37.9,-29.8,-25.0
24,Галактика,Санкт-Петербург,Группа B (программа минимум),19,6,2,-10.5,16.7,-100.0
25,Дальневосточный 15,Санкт-Петербург,Группа B (программа минимум),250,60,64,-80.4,-70.0,-95.3
26,Дмитровский парк,Москва,Группа А (программа максимум),446,185,13,-51.6,8.1,46.2
27,Жемчужина Зеленограда,Москва,Группа B (программа минимум),292,93,19,-30.5,-10.8,-26.3
28,Жулебино парк,МО,Группа B (программа минимум),475,143,27,-21.3,-30.1,-88.9
29,Западный порт,Москва БК Продукт,Группа А (программа максимум),180,54,6,-25.6,-59.3,-50.0
30,Заречный парк,ЛО,Группа А (программа максимум),185,100,35,-61.6,-76.0,-68.6
31,Зелёный парк,Москва,Группа А (программа максимум),246,64,11,-44.3,7.8,-27.3
32,Измайловский 11,Москва,Группа B (программа минимум),68,21,43,-25.0,-19.0,-74.4
33,Измайловский лес,МО,Группа А (программа максимум),450,225,9,-32.9,-17.3,-11.1
34,Ильинские луга,МО,Группа А (программа максимум),530,232,90,-37.4,-20.7,-48.9
35,Ильменский 17,Москва,Группа B (программа минимум),158,53,13,-43.7,-30.2,38.5
36,Исеть парк,Свердловская обл.,Группа С (не было мероприятий),147,61,9,-32.7,-31.1,-11.1
37,Кавказский бульвар 51,Москва,Группа B (программа минимум),112,81,17,-34.8,-32.1,-82.4
38,Кантемировская 11,Санкт-Петербург,Группа А (программа максимум),262,46,6,-61.8,-43.5,-16.7
39,Кольская 8,Москва,Группа B (программа минимум),155,53,39,-32.3,-17.0,-71.8
40,Космонавтов 11,Свердловская обл.,Группа С (не было мероприятий),0,126,18,,-41.3,-66.7
41,Красноказарменная 15,Москва,Группа А (программа максимум),150,62,13,-70.7,-9.7,38.5
42,Кронштадтский 14,Москва,Группа А (программа максимум),120,72,3,-58.3,-62.5,-33.3
43,Кронштадтский 9,Москва,Группа А (программа максимум),249,131,8,-70.3,-72.5,-37.5
44,Кудровский парк,ЛО,Группа А (программа максимум),163,48,17,-65.6,-39.6,-94.1
45,Кузьминский лес,МО,Группа B (программа минимум),82,65,34,-19.5,-10.8,-47.1
46,Кутузовский квартал,Москва,Группа B (программа минимум),0,0,2,,,0.0
47,Лермонтовский 54,Санкт-Петербург,Группа А (программа максимум),0,0,39,,,-97.4
48,Лосиноостровский парк,Москва,Группа А (программа максимум),187,146,18,-45.5,-43.2,-38.9
49,Люберецкий,МО,Группа B (программа минимум),750,75,3,-52.9,-26.7,-100.0
50,Люберцы парк,МО,Группа B (программа минимум),435,123,31,-1.8,2.4,-9.7
51,Люблинский парк,Москва,Группа B (программа минимум),731,366,38,-40.9,-40.7,-44.7
52,Матвеевский парк,Москва,Группа А (программа максимум),117,96,16,-44.4,-50.0,-68.8
53,Мещерский лес,Москва,Группа А (программа максимум),439,322,19,3.0,-47.8,-47.4
54,Митино парк,МО,Группа B (программа минимум),103,51,20,-21.4,56.9,-10.0
55,Митинский лес,Москва,Группа А (программа максимум),41,112,49,-9.8,-33.9,-89.8
56,Михайловский парк,Москва,Группа B (программа минимум),545,187,109,-56.0,-78.6,-85.3
57,Мичуринский парк,Москва,Группа А (программа максимум),97,68,13,-54.6,-60.3,-23.1
58,Молодогвардейская 36,Москва,Группа С (не было мероприятий),65,26,5,-83.1,26.9,-80.0
59,Мякинино парк,Москва,Группа B (программа минимум),319,41,14,-32.3,12.2,14.3
60,Никольские луга,Москва,Группа B (программа минимум),121,63,29,-47.9,-22.2,-31.0
61,Новое Очаково,Москва,Группа B (программа минимум),0,68,6,,-63.2,-33.3
62,Новохохловская 15,Москва,Группа B (программа минимум),227,43,5,-56.8,-20.9,-60.0
63,Нокса парк,Татарстан,Группа А (программа максимум),0,19,12,,-42.1,-75.0
64,Одинцово-1,МО,Группа B (программа минимум),607,149,37,-38.2,-29.5,-43.2
65,Оранж парк,МО,Группа B (программа минимум),390,72,10,-38.2,26.4,-90.0
66,Орловский парк,Санкт-Петербург,Группа B (программа минимум),183,18,5,-62.3,-72.2,-60.0
67,Открытый парк,Москва,Группа А (программа максимум),0,79,23,,-32.9,-95.7
68,Первый Дубровский,Москва,Группа А (программа максимум),0,77,43,,54.5,-72.1
69,Перовское 2,Москва,Группа А (программа максимум),248,70,5,-63.3,-45.7,-20.0
70,Петр1,Москва,Группа А (программа максимум),0,0,21,,,9.5
71,Лефортово парк,Москва,Группа А (программа максимум),0,111,27,,-15.3,22.2
72,Полар,Москва,Группа B (программа минимум),0,0,3,,,-66.7
73,Полярная 25,Москва,Группа B (программа минимум),368,120,35,-30.2,-35.8,-74.3
74,Просторная 7,Москва,Группа B (программа минимум),59,16,0,-25.4,-31.2,
75,Римского-Корсакова,Москва,Группа B (программа минимум),0,0,7,,,-28.6
76,Руставели 14,Москва,Группа А (программа максимум),125,74,14,-79.2,-24.3,-78.6
77,Савин парк,Нижегородская обл.,Группа С (не было мероприятий),51,55,36,-58.8,-74.5,-77.8
78,Саларьево парк,Москва,Группа А (программа максимум),323,187,11,-34.4,-19.3,-63.6
79,Середневский лес,Москва,Группа А (программа максимум),162,209,19,-48.8,-28.2,-5.3
80,Сиберово,Татарстан,Группа С (не было мероприятий),0,0,8,,,-100.0
81,Сигнальный 16,Москва,Группа B (программа минимум),98,57,10,-41.8,-52.6,-70.0
82,Сокольнический вал 1,Москва,Группа С (не было мероприятий),57,5,1,-61.4,40.0,-100.0
83,Столичные поляны,Москва,Группа B (программа минимум),390,46,17,-49.5,-4.3,23.5
84,Таллинский парк,ЛО,Группа А (программа максимум),96,107,13,-36.5,-56.1,-53.8
85,Томилинский бульвар,МО,Группа С (не было мероприятий),0,0,1,,,-100.0
86,Утёс,Свердловская обл.,Группа С (не было мероприятий),0,43,4,,-41.9,75.0
87,Черняховского 19,Москва,Группа B (программа минимум),99,31,2,-47.5,-6.5,-100.0
88,Шереметьевский,Москва,Группа А (программа максимум),193,57,3,-41.5,35.1,-66.7
89,Шкиперский 19,Санкт-Петербург,Группа А (программа максимум),0,0,17,,,-100.0
90,Юнино,Москва,Группа А (программа максимум),0,41,2,,-41.5,-50.0
91,Ютаново,Москва,Группа А (программа максимум),33,86,6,-75.8,-47.7,-50.0
92,Янинский лес,ЛО,Группа А (программа максимум),112,54,17,-42.9,-35.2,-35.3
93,Ярославский,МО,Группа B (программа минимум),179,72,5,-46.9,-29.2,-80.0
94,Ярославский квартал,МО,Группа B (программа минимум),0,0,3,,,0.0
95,Ясеневая 14,Москва,Группа B (программа минимум),352,90,68,-6.2,-11.1,19.1
96,Яуза парк,МО,Группа B (программа минимум),0,0,4,,,-50.0
