num	zhk	reg	meropr	nps26	nps25	nps24	n26	vklad	seg
1	Green Park	Москва	Группа А (программа максимум)	-52,9	-33,3	-53,7	17	-0,5	Недобор
2	Holland park	Москва	Группа А (программа максимум)	-20,0	-81,4	-68,7	5	-0,1	Недобор
3	Vander park	Москва БК Продукт	Группа А (программа максимум)	-60,0	-68,8	-42,9	5	-0,2	Недобор
4	Vangarden	Москва БК Продукт	Группа А (программа максимум)	-100,0	-88,6	-64,1	2	-0,1	Недобор
5	Академика Павлова	Москва	Группа B (программа минимум)	-16,7	+3,5	-51,7	18	-0,2	Недобор
6	Алтуфьевское 53	Москва	Группа А (программа максимум)	0,0	-67,1	—	5	0,0	Недобор
7	Амурский парк	Москва	Группа B (программа минимум)	-76,2	-66,2	-48,1	21	-0,9	Недобор
8	Аннино парк	Москва	Группа B (программа минимум)	-100,0	-35,3	-85,2	16	-0,9	Недобор
9	Аэронавт	Санкт-Петербург	Группа B (программа минимум)	-95,6	-40,0	—	45	-2,4	Недобор
10	Барклая 6	Москва БК Продукт	Группа А (программа максимум)	-45,8	+25,0	-100,0	24	-0,6	Недобор
11	Белая дача парк	МО	Группа B (программа минимум)	-43,5	-13,3	+0,7	23	-0,6	Недобор
12	Большая Академическая 85	Москва	Группа А (программа максимум)	-97,4	-7,3	-45,0	77	-4,2	Кризис
13	Большая Очаковская 2	Москва	Группа А (программа максимум)	+50,0	-46,2	-70,8	2	+0,1	Недобор
14	Бунинские луга	Москва	Группа B (программа минимум)	-25,0	-25,0	-32,9	16	-0,2	Недобор
15	Бусиновский парк	Москва	Группа B (программа минимум)	+9,1	-11,3	-56,2	22	+0,1	Недобор
16	Бутово парк 2	МО	Группа А (программа максимум)	-100,0	-17,0	-51,1	15	-0,8	Недобор
17	Вавилова 4	Москва БК Продукт	Группа А (программа максимум)	—	0,0	-38,5	0	—	Недобор
18	Варшавское шоссе 141	Москва	Группа B (программа минимум)	-54,5	-23,0	-54,9	11	-0,3	Недобор
19	Витебский парк	Санкт-Петербург	Группа B (программа минимум)	-68,4	-17,6	—	19	-0,7	Недобор
20	Волжский парк	Москва	Группа B (программа минимум)	-37,5	-33,8	-29,4	8	-0,2	Недобор
21	Волоколамское 24	Москва БК Продукт	Группа А (программа максимум)	—	—	—	0	—	Недобор
22	Восточное Бутово	МО	Группа А (программа максимум)	-30,8	-40,9	-23,9	13	-0,2	Недобор
23	Второй Нагатинский	Москва	Группа А (программа максимум)	-25,0	-29,8	-37,9	32	-0,5	Недобор
24	Галактика	Санкт-Петербург	Группа B (программа минимум)	-100,0	+16,7	-10,5	2	-0,1	Недобор
25	Дальневосточный 15	Санкт-Петербург	Группа B (программа минимум)	-95,3	-70,0	-80,4	64	-3,4	Кризис
26	Дмитровский парк	Москва	Группа А (программа максимум)	+46,2	+8,1	-51,6	13	+0,3	Недобор
27	Жемчужина Зеленограда	Москва	Группа B (программа минимум)	-26,3	-10,8	-30,5	19	-0,3	Недобор
28	Жулебино парк	МО	Группа B (программа минимум)	-88,9	-30,1	-21,3	27	-1,3	Недобор
29	Западный порт	Москва БК Продукт	Группа А (программа максимум)	-50,0	-59,3	-25,6	6	-0,2	Недобор
30	Заречный парк	ЛО	Группа А (программа максимум)	-68,6	-76,0	-61,6	35	-1,3	Недобор
31	Зелёный парк	Москва	Группа А (программа максимум)	-27,3	+7,8	-44,3	11	-0,2	Недобор
32	Измайловский 11	Москва	Группа B (программа минимум)	-74,4	-19,0	-25,0	43	-1,8	Недобор
33	Измайловский лес	МО	Группа А (программа максимум)	-11,1	-17,3	-32,9	9	-0,1	Недобор
34	Ильинские луга	МО	Группа А (программа максимум)	-48,9	-20,7	-37,4	90	-2,5	Кризис
35	Ильменский 17	Москва	Группа B (программа минимум)	+38,5	-30,2	-43,7	13	+0,3	Недобор
36	Исеть парк	Свердловская обл.	Группа С (не было мероприятий)	-11,1	-31,1	-32,7	9	-0,1	Недобор
37	Кавказский бульвар 51	Москва	Группа B (программа минимум)	-82,4	-32,1	-34,8	17	-0,8	Недобор
38	Кантемировская 11	Санкт-Петербург	Группа А (программа максимум)	-16,7	-43,5	-61,8	6	-0,1	Недобор
39	Кольская 8	Москва	Группа B (программа минимум)	-71,8	-17,0	-32,3	39	-1,6	Недобор
40	Космонавтов 11	Свердловская обл.	Группа С (не было мероприятий)	-66,7	-41,3	—	18	-0,7	Недобор
41	Красноказарменная 15	Москва	Группа А (программа максимум)	+38,5	-9,7	-70,7	13	+0,3	Недобор
42	Кронштадтский 14	Москва	Группа А (программа максимум)	-33,3	-62,5	-58,3	3	-0,1	Недобор
43	Кронштадтский 9	Москва	Группа А (программа максимум)	-37,5	-72,5	-70,3	8	-0,2	Недобор
44	Кудровский парк	ЛО	Группа А (программа максимум)	-94,1	-39,6	-65,6	17	-0,9	Недобор
45	Кузьминский лес	МО	Группа B (программа минимум)	-47,1	-10,8	-19,5	34	-0,9	Недобор
46	Кутузовский квартал	Москва	Группа B (программа минимум)	0,0	—	—	2	0,0	Недобор
47	Лермонтовский 54	Санкт-Петербург	Группа А (программа максимум)	-97,4	—	—	39	-2,1	Недобор
48	Лосиноостровский парк	Москва	Группа А (программа максимум)	-38,9	-43,2	-45,5	18	-0,4	Недобор
