zhk,n_2024,nps_2024,n_2025,nps_2025,n_2026,nps_2026,delta_25_24,delta_26_25,delta_26_24
Green Park,0,,0,,17,-52.94,,,
Green park,581,-53.7,141,-33.33,0,,20.4,,
Holland park,163,-68.71,97,-81.44,5,-20.0,-12.7,,
Vander park,63,-42.86,16,-68.75,5,-60.0,,,
Vangarden,39,-64.1,70,-88.57,2,-100.0,-24.5,,
Академика Павлова,286,-51.75,57,3.51,18,-16.67,55.3,,
Алтуфьевское 53,0,,85,-67.06,5,0.0,,,
Амурский парк,235,-48.09,80,-66.25,21,-76.19,-18.2,,
Аннино парк,27,-85.19,51,-35.29,16,-100.0,,,
Аэронавт,0,,20,-40.0,45,-95.56,,,
Барклая 6,1,-100.0,36,25.0,24,-45.83,,,
Белая дача парк,414,0.72,158,-13.29,23,-43.48,-14.0,,
Большая Академическая 85,180,-45.0,55,-7.27,77,-97.4,37.7,-90.1,-52.4
Большая Очаковская 2,48,-70.83,52,-46.15,2,50.0,24.7,,
Босфорский парк,49,-51.02,0,,0,,,,
Бунинские луга,237,-32.91,152,-25.0,16,-25.0,7.9,,
Бусиновский парк,317,-56.15,62,-11.29,22,9.09,44.9,,
Бутово парк 2,139,-51.08,176,-17.05,15,-100.0,34.0,,
Вавилова 4,39,-38.46,6,0.0,0,,,,
Варшавское шоссе 141,71,-54.93,61,-22.95,11,-54.55,32.0,,
Витебский парк,0,,34,-17.65,19,-68.42,,,
Влюблино,109,-40.37,0,,0,,,,
Волга парк,247,1.62,107,-19.63,0,,-21.2,,
Волжский парк,269,-29.37,74,-33.78,8,-37.5,-4.4,,
Волоколамское шоссе 24,101,-70.3,10,-30.0,0,,,,
Восточное Бутово,503,-23.86,164,-40.85,13,-30.77,-17.0,,
Второй Нагатинский,140,-37.86,94,-29.79,32,-25.0,8.1,4.8,12.9
Галактика,19,-10.53,6,16.67,2,-100.0,,,
Дальневосточный 15,250,-80.4,60,-70.0,64,-95.31,10.4,-25.3,-14.9
Дмитровский парк,446,-51.57,185,8.11,13,46.15,59.7,,
Ельнинская 14,35,-68.57,11,-81.82,0,,,,
Жемчужина Зеленограда,292,-30.48,93,-10.75,19,-26.32,19.7,,
Жулебино парк,475,-21.26,143,-30.07,27,-88.89,-8.8,,
Западный порт,180,-25.56,54,-59.26,6,-50.0,-33.7,,
Заречный парк,185,-61.62,100,-76.0,35,-68.57,-14.4,7.4,-6.9
Зелёный парк,246,-44.31,64,7.81,11,-27.27,52.1,,
Измайловский 11,68,-25.0,21,-19.05,43,-74.42,,,-49.4
Измайловский лес,450,-32.89,225,-17.33,9,-11.11,15.6,,
Ильинские луга,530,-37.36,232,-20.69,90,-48.89,16.7,-28.2,-11.5
Ильменский 17,158,-43.67,53,-30.19,13,38.46,13.5,,
Исеть парк,147,-32.65,61,-31.15,9,-11.11,1.5,,
Кавказский бульвар 51,112,-34.82,81,-32.1,17,-82.35,2.7,,
Кантемировская 11,262,-61.83,46,-43.48,6,-16.67,18.4,,
Кольская 8,155,-32.26,53,-16.98,39,-71.79,15.3,-54.8,-39.5
Космонавтов 11,0,,126,-41.27,18,-66.67,,,
Космонавтов 11 (Екатеринбург),93,-49.46,0,,0,,,,
Красноказарменная 15,150,-70.67,62,-9.68,13,38.46,61.0,,
Кронштадтский 14,120,-58.33,72,-62.5,3,-33.33,-4.2,,
Кронштадтский 9,249,-70.28,131,-72.52,8,-37.5,-2.2,,
Кудровский парк,163,-65.64,48,-39.58,17,-94.12,26.1,,
Кузьминский лес,82,-19.51,65,-10.77,34,-47.06,8.7,-36.3,-27.6
Кутузовский квартал,0,,0,,2,0.0,,,
Лермонтовский,0,,14,-71.43,0,,,,
Лермонтовский 54,0,,0,,39,-97.44,,,
Лесной,2,0.0,0,,0,,,,
Лефортово парк,0,,111,-15.32,27,22.22,,,
Лефортово парк/Пётр I,288,-53.47,0,,0,,,,
Лосиноостровский парк,187,-45.45,146,-43.15,18,-38.89,2.3,,
Люберецкий,750,-52.93,75,-26.67,3,-100.0,26.3,,
Люберцы парк,435,-1.84,123,2.44,31,-9.68,4.3,-12.1,-7.8
