ЖК,NPS_2024,n_2024,CSAT_2024,NPS_2025,n_2025,CSAT_2025,NPS_2026,n_2026,Δ 2025 vs 2024,hypothesis_2025_2024,Δ 2026 vs 2025,hypothesis_2026_2025,Δ 2026 vs 2024,hypothesis_2026_2024
Green Park,-53.7,581,2.49,-33.3,141,3.18,-52.9,17,20.4,,-19.6,гипотеза,0.8,гипотеза
Holland park,-68.7,163,2.09,-81.4,97,1.92,-20.0,5,-12.7,,61.4,гипотеза,48.7,гипотеза
Vander park,-42.9,63,2.94,-68.8,16,2.44,-60.0,5,-25.9,гипотеза,8.8,гипотеза,-17.1,гипотеза
Vangarden,-64.1,39,2.1,-88.6,70,2.29,-100.0,2,-24.5,гипотеза,-11.4,гипотеза,-35.9,гипотеза
Академика Павлова,-51.7,286,2.68,3.5,57,3.72,-16.7,24,55.2,,-20.2,гипотеза,35.0,гипотеза
Алтуфьевское 53,,0,,-67.1,85,2.76,0.0,5,,гипотеза,67.1,гипотеза,,гипотеза
Амурский парк,-48.1,235,2.69,-66.2,80,2.39,-77.3,22,-18.1,,-11.1,гипотеза,-29.2,гипотеза
Аннино парк,-85.2,27,2.0,-35.3,51,3.2,-100.0,16,49.9,гипотеза,-64.7,гипотеза,-14.8,гипотеза
Аэронавт,,0,,-40.0,20,3.6,-95.6,45,,гипотеза,-55.6,гипотеза,,гипотеза
Барклая 6,-100.0,1,1.0,25.0,36,4.14,-45.8,24,125.0,гипотеза,-70.8,гипотеза,54.2,гипотеза
Белая дача парк,0.7,414,3.72,-13.3,158,3.8,-40.6,32,-14.0,,-27.3,гипотеза,-41.3,гипотеза
Большая Академическая 85,-45.0,180,2.73,-7.3,55,3.69,-97.4,78,37.7,,-90.1,,-52.4,
Большая Очаковская 2,-70.8,48,2.31,-46.2,52,2.96,50.0,2,24.6,гипотеза,96.2,гипотеза,120.8,гипотеза
Бунинские луга,-32.9,237,3.04,-25.0,152,3.17,-29.4,17,7.9,,-4.4,гипотеза,3.5,гипотеза
Бусиновский парк,-56.2,317,2.47,-11.3,62,3.44,9.1,22,44.9,,20.4,гипотеза,65.3,гипотеза
Бутово парк 2,-51.1,139,2.83,-17.0,176,3.38,-100.0,15,34.1,,-83.0,гипотеза,-48.9,гипотеза
Вавилова 4,-38.5,39,3.13,0.0,6,4.17,,0,38.5,гипотеза,,гипотеза,,гипотеза
Варшавское шоссе 141,-54.9,71,2.39,-23.0,61,3.1,-54.5,11,31.9,,-31.5,гипотеза,0.4,гипотеза
Витебский парк,,0,,-17.6,34,3.53,-68.4,19,,гипотеза,-50.8,гипотеза,,гипотеза
Волжский парк,-29.4,269,3.16,-33.8,74,3.35,-37.5,8,-4.4,,-3.7,гипотеза,-8.1,гипотеза
Волоколамское 24,,0,,,0,,,0,,гипотеза,,гипотеза,,гипотеза
Восточное Бутово,-23.9,503,3.15,-40.9,164,2.85,-30.8,13,-17.0,,10.1,гипотеза,-6.9,гипотеза
Второй Нагатинский,-37.9,140,3.06,-29.8,94,3.33,-29.7,37,8.1,,0.1,гипотеза,8.2,гипотеза
Галактика,-10.5,19,3.05,16.7,6,3.5,-100.0,2,27.2,гипотеза,-116.7,гипотеза,-89.5,гипотеза
Дальневосточный 15,-80.4,250,1.71,-70.0,60,2.52,-95.3,64,10.4,,-25.3,,-14.9,
Дмитровский парк,-51.6,446,2.65,8.1,185,3.71,46.2,13,59.7,,38.1,гипотеза,97.8,гипотеза
Жемчужина Зеленограда,-30.5,292,2.94,-10.8,93,3.46,-23.3,30,19.7,,-12.5,гипотеза,7.2,гипотеза
Жулебино парк,-21.3,475,3.17,-30.1,143,3.29,-88.9,27,-8.8,,-58.8,гипотеза,-67.6,гипотеза
Западный порт,-25.6,180,3.14,-59.3,54,2.65,-50.0,6,-33.7,,9.3,гипотеза,-24.4,гипотеза
Заречный парк,-61.6,185,2.65,-76.0,100,2.36,-68.6,35,-14.4,,7.4,гипотеза,-7.0,гипотеза
Зелёный парк,-44.3,246,2.78,7.8,64,3.91,-14.3,14,52.1,,-22.1,гипотеза,30.0,гипотеза
Измайловский 11,-25.0,68,3.04,-19.0,21,3.29,-74.4,43,6.0,гипотеза,-55.4,гипотеза,-49.4,гипотеза
Измайловский лес,-32.9,450,2.92,-17.3,225,3.45,-11.1,9,15.6,,6.2,гипотеза,21.8,гипотеза
Ильинские луга,-37.4,530,2.8,-20.7,232,3.16,-48.1,106,16.7,,-27.4,,-10.7,
Ильменский 17,-43.7,158,2.79,-30.2,53,3.21,38.5,13,13.5,,68.7,гипотеза,82.2,гипотеза
Исеть парк,-32.7,147,3.37,-31.1,61,3.1,-11.1,9,1.6,,20.0,гипотеза,21.6,гипотеза
Кавказский бульвар 51,-34.8,112,3.16,-32.1,81,3.32,-82.4,17,2.7,,-50.3,гипотеза,-47.6,гипотеза
Кантемировская 11,-61.8,262,2.59,-43.5,46,2.83,-16.7,6,18.3,гипотеза,26.8,гипотеза,45.1,гипотеза
Кольская 8,-32.3,155,2.94,-17.0,53,3.43,-71.8,39,15.3,,-54.8,гипотеза,-39.5,гипотеза
Космонавтов 11,-49.5,93,2.95,-41.3,126,3.1,-66.7,18,8.2,,-25.4,гипотеза,-17.2,гипотеза
